Date,Open,High,Low,Close,Adj Close,Volume
2020-01-27,28.629999,28.639999,27.670000,28.030001,28.027927,66105300
2020-01-28,28.430000,29.139999,28.420000,28.799999,28.797869,47259100
2020-01-29,29.000000,29.080000,28.670000,28.850000,28.847866,42297500
2020-01-30,28.280001,29.040001,28.180000,28.940001,28.937860,44266800
2020-01-31,28.629999,28.840000,28.309999,28.450001,28.447897,55446700
2020-02-03,28.520000,28.730000,28.160000,28.180000,28.177917,39452800
2020-02-04,28.650000,29.040001,28.559999,28.629999,28.627880,57658400
2020-02-05,29.049999,29.219999,28.389999,28.389999,28.387901,67994500
2020-02-06,28.700001,29.510000,28.120001,29.180000,29.177841,126114000
2020-02-07,29.000000,29.350000,28.730000,28.930000,28.927860,54514600
2020-02-10,28.889999,29.129999,28.639999,29.129999,29.127844,45328100
2020-02-11,29.400000,29.629999,29.260000,29.480000,29.477818,37518200
2020-02-12,29.639999,30.280001,29.629999,30.129999,30.127769,64851000
2020-02-13,29.770000,30.209999,29.639999,29.719999,29.717802,55277100
2020-02-14,29.860001,29.959999,29.340000,29.420000,29.417824,30399900
2020-02-17,29.629999,29.770000,29.309999,29.360001,29.357828,38684900
2020-02-18,29.059999,29.770000,28.950001,29.750000,29.747799,33890900
2020-02-19,29.870001,30.549999,29.760000,30.549999,30.547739,44181800
2020-02-20,30.799999,30.889999,29.750000,29.920000,29.917788,73522900
2020-02-21,29.510000,29.680000,29.030001,29.139999,29.137844,47805100
